序号,机构logo,"供应商全称
",机构名,"供应商性质
（直媒/集采/独代）",当前政策梯度,供应商开票内容,供应商开票信息,24年政策,,25年政策,,24年合作情况,,25年合作情况,,"签框前
累量金额
（针对新签约供应商）",税率(%),返点账期,支付账期,是否代下单,代下单服务费,一级对接人,,,,二级对接人,,,年框合同信息,,,,,,,,资源类型,资源属性,可合作平台,,,,,,,,,,供应商简介,2025年刊例链接,,,,,,,,,,,,
10,,南京小灿灿网络科技有限公司,小灿灿、琥珀美妆、车节奏、麦籽、最美妆、苏颜美妆,独代+集采,20%≤X＜25%,现代服务*信息服务费,,"
政策：梯度返点政策（适用全平台：抖音/快手/小红书/懂车帝/今日头条/微博）
累量0-200W，返点17%
累量200-500W，返点20%
累量500-800W，返点22%
累量超过800w，返点25%
PS：汽车+美妆类型都通用政策，共同累量
零跑特殊政策：20%
","（适用全平台：抖音/快手/小红书/懂车帝/今日头条/微博）
累量0-200W，返点17%","（适用全平台：抖音/快手/小红书/懂车帝/今日头条/微博）0<A<500：22%
A>500：25%","（适用全平台：抖音/快手/小红书/懂车帝/今日头条/微博）0<A<500：22%
A>500：25%","982,000","982,000","除深度合作头部博主特殊合作政策外
合作年框政策为
0<A<500：22%
A>500：25%",,,6,1个月,/,否,/,刘健,商务总监, weixu@xiaocancan.cn,_army27,次次,商务,HTYR_Twelve,,,,"除深度合作头部博主特殊合作政策外
合作年框政策为
0<A<500：22%
A>500：25%
@张在森头部具体指哪些？去年好像没有说单独将头部拉出来的政策呢
猴哥说车，八戒说车，5号车库阿张（25%-35%）
确认好返点账期和发票信息后，可以推进签约@张在森",推进续约-签署合同中-法务,2025/10/16,SIRI,,"母婴,美妆,生活,家居","测评,coser,电视台/电台主持人,专业赛车手,演员,二次元",√,√,,√,,√,,√,√,今日头条,小灿灿新媒体简介2024.01.pdf,【麦籽网络】 2025年1月刊例价.xlsx,【麦籽网络】 2025年2月刊例价.xlsx,"【麦籽网络】 2025年3月刊例价.xlsx
【苏颜美妆】小灿灿新媒体- 2025年3月刊例.xlsx","【小灿灿麦籽网络】 2025年4月刊例价.xlsx
【小灿灿苏颜】小灿灿新媒体- 2025年4月刊例.xlsx",/,【麦籽网络】 2025年6月刊例价20250527.xlsx,【南京苏颜】小灿灿新媒体- 2025年7月刊例.xlsx,【南京苏颜】小灿灿新媒体- 2025年8月刊例.xlsx,,"【麦籽网络】 2025年10月刊例价20251009.xlsx
【南京苏颜】小灿灿新媒体- 2025年10月刊例.xlsx
车节奏2025年10月刊例价(1).xlsx",,  ,
14,,北京新动互联信息技术有限公司,新动互联,独代,x≥30%,现代服务*广告发布费,,"2024年政策：
抖音、小红书、快手
0<x<150 返点28%
150≦x<300 返点30%
300≦x<500 返点33%
500≦x 返点35%

视频号、微信政策：
0<x<150 返点30%
150≦x<300 返点32%
300≦x<500 返点35%
500≦x 返点40%
","抖音、小红书、快手
0<x<150 返点28%
视频号、微信政策：
0<x<150 返点30%","全平台机构自营/独家签约账号拉齐政策（包含：抖音 快手 小红书 视频号）：（“X”为不含平台服务费裸价）
0 < X<100  30%
100 ≤X<200  33%
X ≥200 35%
（不含服务费累量，不含服务费计返）",0-100W  30%,"987,500","987,500",,,,6,1个月,/,否,/,董瑶婵,商务经理,yaochan@xindong-inc.com,,毛磊,战略副总裁,imxianmo,2025/7/1,2025/12/31,62,已归档,,,鑫豪,双盖版【供应商-年框合同审批-数字】北京新动互联信息技术有限公司+年框供应商+2025年6月+2025年社会化媒体年度代理协议书-一式四份-批注版.pdf ,"汽车,母婴,美妆,生活,美食,萌宠,剧情,影视娱乐","企业/品牌创始人,演员,情侣,音乐剧演员,舞蹈老师",√,√,,√,√,,,√,,,新动互联传媒简介3.18.pdf,,,【新动传媒3月】达人刊例-2025 （最新调价）.xlsx,【新动传媒4月】达人刊例-2025.xlsx,【新动传媒5月】达人刊例-2025(1).xlsx,【新动传媒6月】达人刊例-2025.xlsx,【新动传媒7月】达人刊例-2025.xlsx,【新动传媒8月】达人刊例-2025- 8(1).xlsx,,【新动传媒10月】达人刊例-2025- 10.xlsx,,,
15,,"北京奇东传媒有限公司
北京奇光传媒有限公司",奇东、奇光、奇美、晓山,独代+集采,25%≤X＜30%,信息技术服务*信息服务费,,"奇东+奇光双主体累框
4、2024年政策：（独家+外采一起累框）
独家资源：抖音+小红书拉齐政策：
0-300万： 25%
300-600万 ：27%
600万以上： 30%
阶梯返点框架，不拉平。
例如：全年合作800万，返点计算为：（300万*0.25）+（300万*0.27）+（200万*0.3）
5、可以代下单，项目结束后账期1个月（可以红冲）
外采资源：返点不低于20%
","抖音+小红书拉齐政策：
0-300万： 25%","奇东+奇光双主体累框
1、2025年政策：
（独家资源+外采资源一起累框）
外采资源：不低于20%
独家资源(抖音+小红书）：
0-300万： 25%
300-600万 ：27%
600万以上： 30%
汽车类：不保量30%；保量cpm40cpe4，返点27%
阶梯返点框架，不拉平。
2、不可代下单
3、返点账期：次月结，两个主体返点要分开结算单确认
4、合同期：2025/7/1-2026/6/30
5、开票内容：现代服务*广告发布费，6%","外采资源：不低于20%
独家资源(抖音+小红书）：
0-300万： 25%
汽车类：不保量30%；保量cpm40cpe4，返点27%
阶梯返点框架，不拉平。","1,475,000","1,475,000",,,,6,1个月,1个月,是,/,阮历程,商务 ,278374897@qq.com,18924234521,杜青峰,商务总经理,13161801962,,,,"奇东+奇光双主体累框
1、2025年政策：
（独家资源+外采资源一起累框）
外采资源：不低于20%
独家资源(抖音+小红书）：
0-600万 ：27%
600万以上： 30%
汽车类：不保量30%；保量cpm40cpe4，返点27%
阶梯返点框架，不拉平。
2、不可代下单
3、返点账期：次月结，两个主体返点要分开结算单确认
4、合同期：2025/7/7-2026/6/30
5、开票内容：现代服务*广告发布费，6%

@林诗茹今年政策起码从27%起签 ——已沟通可执行
@林诗茹推进签约",推进续约-签署合同中-供应商,2025/9/26,SIRI,,"汽车,母婴,美妆,生活,美食,亲子,家居,数码,萌宠,旅行,二次元,剧情,三农","测评,探店,高学历,电视台/电台主持人,官媒,演员,情侣,舞蹈,插画师,留学生,营养师,二次元,模特,导演,科普,穿搭,运动员,滑板,变装,歌手/音乐,学习,运动健身,配音,童声合唱团,军事,潮鞋,武术,足球",√,,,√,,,,,,,奇东传媒简介2403.pdf,奇光MCN 2025年1月刊例.xlsx,奇光MCN 2025年2月刊例-小鬼.xlsx,"奇东-2025年3月星图刊例.xlsx
奇光MCN 2025年3月刊例-小鬼.xlsx",【奇光MCN】 2025年4月刊例-小鬼.xlsx,奇光MCN 2025年5月刊例.xlsx,奇光MCN 2025年6月刊例-小鬼 6.3.xlsx,奇东传媒 2025年7月星图刊例.xlsx,奇光MCN 2025年8月刊例-小鬼 .xlsx,,"奇东传媒 2025年10月星图刊例.xlsx
奇光MCN 2025年10月刊例-小鬼 .xlsx",,,
16,,郑州开心互动文化传播有限公司 ,NGE（原果庐）,独代,x≥30%,广告服务*广告发布费或信息技术服务*信息服务费都可,,"政策：自营
100w以下：
抖音30%
小红书20%
100-300W:
抖音35%
小红书22%
300w以上：
抖音40%
小红书25%","100w以下：
抖音30%
小红书20%","全平台机构自营/独家签约账号拉齐政策：
抖音：35%，小红书25%，微博机构微任务到手价10%（微博即省广下单机构自营独家账号，机构到手价的10%）",抖音：35%，小红书25%，微博机构微任务到手价10%,"224,300","224,300",,,,6,1个月,/,否,/,郑浩南,商务总监,19937102557@163.com,,宋子恒,商务主管,NGEAD688,2025/1/1,2025/12/31,62,已归档,,,鑫豪,双盖版【供应商-年框合同审批-数字】郑州开心互动文化传播有限公司+年框供应商+2025年8月+2025年社会化媒体年度代理协议书-一式四份-批注版.pdf ,"汽车,母婴,美妆,时尚,生活,亲子,家居,数码,二次元","测评,探店,coser,大学生,海归,高学历,电视台/电台主持人,演员,（前）女团成员,模特,摄影师,穿搭,asmr",√,√,,,√,,,,,,NGEppt.pdf,NGE传媒2５.1月全平台刊.xlsx,NGE传媒2月全平台刊(美妆汽车家居数码）2.18更新).xlsx,NGE传媒3月全平台刊(美妆汽车家居数码）(更新3.13) (1).xlsx,【NGE传媒】4月全平台刊(美妆汽车家居数码）小红书更新.xlsx,NGE传媒5月全平台刊(美妆汽车家居数码） (终版）.xlsx,NGE传媒6月全平台刊(美妆汽车家居数码） (终版6.5）.xlsx,NGE传媒7月全平台刊(美妆汽车家居数码）（7.1终）(1).xlsx,副本NGE传媒8月全平台刊(美妆汽车家居数码） (终版）7.29.xlsx,,NGE传媒10月全平台刊(美妆汽车家居数码） (9.30).xlsx,,,
17,,河南掌门互动网络科技有限公司,掌门互动,独代+集采,25%≤X＜30%,信息技术服务*信息服务费,,"微博（平台下单）：73折/返点27%
其他平台外采政策：外采可代下单，返点需要具体核价
代下单费用（不直联只做下单垫款，返点省广回收）小红书/抖音：1个月账期加收2个点 三个月账期加收5个点；b站：1个月账期加收5个点，","微博（平台下单）：73折/返点27%
其他平台外采政策：外采可代下单，返点需要具体核价","掌门人政策：
微博（平台下单）：72折/返点28%
微博（省广下单）：额外给到5%-10%，下单前需提前沟通，有个别账号给不到返点，但是很少，需要提前沟通
代下单：小红书、抖音、b站代下单不支持账期，需先款，1个点服务费
外采支付账期：无账期，需先款
返点账期：掌门下单直接抵扣，省广下单独家达人，后返返点，账期：月结
开票内容：信息技术服务*信息服务费
发票税率：6%
是否可配合比价：可","掌门人政策：
微博（平台下单）：72折/返点28%
微博（省广下单）：额外给到5%-10%，下单前需提前沟通，有个别账号给不到返点，但是很少，需要提前沟通
代下单：小红书、抖音、b站代下单不支持账期，需先款，1个点服务费
外采支付账期：无账期，需先款
返点账期：掌门下单直接抵扣，省广下单独家达人，后返返点，账期：月结
开票内容：信息技术服务*信息服务费
发票税率：6%
是否可配合比价：可","3,610,090","3,610,090",,,,6,1个月,1个月,是,/,李嘉欣,商务主管,longbai@zmrmedia.com,19103802664,赵春雨,总经理,13376177185,2025/7/1,2026/6/30,243,合同已寄出，待归档,,2025/9/26,SIRI,,"汽车,母婴,美妆,时尚,生活,美食,亲子,家居,数码,萌宠,旅行,二次元,剧情,漫画,影视娱乐,三农,财经","测评,探店,高学历,电视台/电台主持人,作家,医生,插画师,电竞,文化差异,二次元,模特,漫画,运动健身,星座",,,,,√,,,,,,掌门人 -公司介绍.pdf,"掌门人 & 综合资源-2025.01.xlsx
掌门人&自营+签约资源-2025.01xlsx.xlsx","掌门人 & 综合资源-2025.02.xlsx
掌门人&自营+签约资源-更新-2025.02(1).xlsx","掌门人&自营+签约资源-2025.03.xlsx
掌门人+&+综合资源-2025.03.xlsx","【掌门人】&自营+签约资源-2025.04.xlsx
【掌门人】+&+综合资源-2025.04.xlsx","掌门人 & 综合资源-2025.05.xlsx
掌门人&自营+签约资源-2025.05.xlsx",暂无,掌门人&自营+签约资源-2025.06.xlsx,"掌门人++&+综合资源-2025.08(1).xlsx
掌门人&自营+签约资源-2025.08(1).xlsx","掌门人  & 综合资源-2025.09.xlsx
掌门人&自营+签约资源-2025.09.xlsx","掌门人  & 综合资源-2025.10.xlsx
掌门人&自营+签约资源-2025.10.xlsx",,,
🔥new,,麦芽传媒,麦芽传媒,独代,25%≤X＜30%,信息服务费,,"政策：独家资源政策（不做外采，不能代下单）
全平台（抖音、快手、小红书、b站）拉齐：
0-200w：23%
200w+：25%","平台包括：抖音、小红书、快手、B站
全平台非车返点：
剧情类：60S内25%，60S+27%
非剧情：统一27%

全平台汽车返点：
剧情类：60S内25%，60S+30%
非剧情：60S内27%，60S+30%

短剧：25%","1、合作平台：
抖音、小红书、快手、B站
2、政策：
全平台非车返点27%
全平台汽车返点：60S内27%，60S+30%
短剧：30%
3、支付账期（线下款）：
返点账期：一个月
4、开票内容：广告服务*广告发布费  6%专票","1、合作平台：
抖音、小红书、快手、B站
2、政策：
全平台非车返点27%
全平台汽车返点：60S内27%，60S+30%
短剧：30%
3、支付账期（线下款）：
返点账期：一个月
4、开票内容：广告服务*广告发布费  6%专票","1,780,000","1,780,000",,,,6,1个月,/,否,/,童宝欣,商务,02482@maiyawx.com,,,,,,,,"1、合作平台：
抖音、小红书、快手、B站
2、政策：
全平台非车返点27%
全平台汽车返点：60S内27%，60S+30%
短剧：30%
3、支付账期（线下款）：
返点账期：一个月
4、开票内容：广告服务*广告发布费  6%专票
@郑玉莹
------------------------------------------------
1、非车拉齐30%；麦芽顶框就是27%，汽车是单独给到3个点的奖励，无法拉齐。
2、短剧是否可以一起累量？他们的顶框已经是30%，所以没有梯度划分，累量也没有更高梯度可触达，如果明年公司有新增梯度或者顶框，可重新签署补充协议。
3、华南团队和重庆团队怎么分工对接？华南团队是做自闭环的全域营销业务，就是会自己出方案接品牌方需求的，像个小乙方。因为那个华南的对接人之前在省广待过，就想把省广的业务翘到他手上去做。
@郑玉莹",推进续约-签署合同中-供应商,2025/9/26,SIRI,,"母婴,美妆,时尚,生活,亲子,剧情","测评,coser,大学生,海归,高学历,电视台/电台主持人,情侣,舞蹈,医生,二次元,摄影师,混血萌娃,一人多角,穿搭,运动健身",√,√,√,√,,√,,√,,,麦芽传媒.pdf,【麦芽传媒】1月刊例-麦芽星仔.xlsx,【麦芽传媒】2月刊例-星仔.xlsx,【麦芽传媒】3月刊例-麦芽星仔.xlsx,【麦芽传媒】 小红书4月刊例-赴北(1).xlsx,【麦芽传媒】5月刊例.xlsx,【麦芽传媒】6月刊例-麦芽星仔.xlsx,【麦芽传媒】7月刊例xlsx.xlsx,麦芽传媒刊例.pdf,,【麦芽传媒】10月刊例-麦芽星仔.xlsx,,,
19,,南京易启拼信息科技有限公司,易启拼,独代+集采,25%≤X＜30%,信息服务费,,"小红书：25%
抖音（非独家）：不低于20%
","小红书：25%
抖音（非独家）：不低于20%",,"机构：易启拼
机构类型：综合型（可外采，代下单）
政策：
小红书：25%
抖音（非独家）：不低于20%
支付账期：1个月
返点账期：收到平台款项1个月内
开票内容：现代服务*活动服务费
发票税率：6% 
是否可配合比价：可
年框时间：2025.8.1-2027.7.31

如果需要代下单需要前置沟通，账期1个月（项目结束后一个月必须回款）","1,896,972","1,896,972",,,,6,1个月,1个月,是,/,余艳,,yanzai@hzzdd.cn,,燕崽,ceo,yy715407960,,,,"机构：易启拼
机构类型：综合型（可外采，代下单）

政策：
小红书：25%
抖音（非独家）：不低于20%

累量提升合作金额达150w：（需按此梯度开始签署）
小红书：28%
抖音（非独家）：不低于23%（按25%沟通）
@邓惠雅需要压价
支付账期：1个月
返点账期：收到平台款项1个月内
开票内容：*（其他）现代服务*活动服务费
发票税率：6% 
是否可配合比价：可
如果需要代下单需要前置沟通，账期1个月（项目结束后一个月必须回款）
年框时间：2025.8.1-2027.7.31",政策沟通中,2025/9/3,,,"母婴,美妆,生活,美食,医生,亲子,家居,萌宠,旅行,剧情","探店,演员,医生,穿搭,运动健身",√,√,,,,,,,,,【找多多&易启拼】公司简介V2023.pdf,,,易启拼找多多刊例-3月.xlsx,【易启拼】找多多刊例-4月（核算版）.xlsx,易启拼找多多刊例-5月（核算版）.xlsx,易启拼找多多刊例-6月（未核算版）.xlsx,易启拼找多多刊例-7月（核算版）.xlsx,易启拼找多多刊例-8月（未核算版).xlsx,,找多多&易启拼刊例-10月.xlsx,,,
🔥new,,南昌文宸文化传媒有限公司,文宸、拉克,独代+集采,x≥30%,现代服务*信息服务费用,,"机构名称：南昌文宸、拉克
机构资源类型：综合型
政策：独家与外采通用政策（不同主体可以累框）
抖音：30%
小红书：基础25%（汽车探店类30%）
视频号：7折
支付账期：1个月（（可代下单，有额外5-10%服务费）","框）
抖音：30%
小红书：基础25%（汽车探店类30%）
视频号：7折","机构名称：南昌文宸、拉克
机构资源类型：车垂、营销号为主
政策：独家与外采通用政策（不同主体可以累框）
抖音：35%、上汽可保kpi
小红书：30%
视频号：65折
支付账期：1个月（（可代下单，无服务费，账期1个月）
返点账期：次月结（蓝票6%，活动服务费） 
开票内容：现代服务*信息服务费
发票税率：6%","机构名称：南昌文宸、拉克
机构资源类型：车垂、营销号为主
政策：独家与外采通用政策（不同主体可以累框）
抖音：35%、上汽可保kpi
小红书：35%
视频号：65折
支付账期：1个月（（可代下单，无服务费，账期1个月）
返点账期：次月结（蓝票6%，活动服务费） 
开票内容：现代服务*信息服务费
发票税率：6%","91,267","91,267",,,,6,1个月,/,否,/,樊涛,Mcn负责人,lakewh@foxmail.com,13767160877,樊涛,Mcn负责人,13767160877,2025/4/1,2026/3/31,152,已归档,,,SIRI,【文宸】25年年度代理协议.pdf,"汽车,母婴,时尚,生活,美食,数码,旅行,二次元,影视娱乐,财经,新闻资讯",官媒,√,√,,,,,,,,,拉克公司简介(1).pdf,1月文宸刊例.xlsx,2月文宸刊例.xlsx,3月文宸MCN-3.10.xlsx,【文宸】4月MCNV1-3.25.xlsx,5月文宸 拉克刊例 V4.xlsx,6月文宸-拉克V1 0529.xlsx,7月文宸&拉克&星之.xlsx,8月文宸&拉克&星之 0728(1)(4).xlsx,,10月V4文宸&拉克&星之0930.xlsx,,,
🔥new,,南京薄荷网络科技有限公司,最美妆,独代,25%≤X＜30%,信息技术服务*信息服务费,,"政策：独家阶梯型
全平台拉齐（小红书、抖音、快手}
0＜160：25%
160以上：28%","全平台拉齐（小红书、抖音、快手}
0＜160：25%","0＜R≤80
28%
80＜R≤200
30%","0＜R≤80
28%
80＜R≤200
30%","1,053,000","200,000","机构：最美妆、砂糖橘、香菜
资源类型：综合型（不外采）
政策：独家阶梯型
全平台拉齐（小红书、抖音、快手}
除深度合作头部博主特殊合作政策外
25年S级政策：
0＜A≤80   28%
80＜A≤200 30%
返点账期：一个月",,,6,1个月,/,否,/,苏楠 ,商务,zmz6688freya@163.com,"13218966720 
微信：bhzmz1818",苏苏,商务组长,"bhzmz6666
微信：15851816604",2025/1/1,2025/12/31,62,已归档,,,SIRI,省广x南京薄荷25年年框协议.pdf,"汽车,母婴,美妆,生活,剧情","测评,演员,高级皮肤管理师,选美冠军,歌手/音乐",√,√,,√,,,,,,,薄荷网络·最美妆介绍2024-苏苏.pdf,,,薄荷网络·最美妆 3月刊例.xlsx,【最美妆】  4月刊例.xlsx,薄荷网络·最美妆-香菜-砂糖橘-雪饼 5月刊例.xlsx,薄荷网络·最美妆-香菜-砂糖橘-雪饼 6月刊例.xlsx,薄荷网络·最美妆-香菜-砂糖橘-雪饼-彦同 7月刊例.xlsx,薄荷网络·最美妆-香菜-砂糖橘-雪饼-彦同 8月刊例.xlsx,,薄荷网络·最美妆10月刊例.xlsx,,,
24,,杭州无忧传媒有限公司,无忧传媒,独代+集采,25%≤X＜30%,信息服务费,,"1、政策：
全平台自营账号拉通以下政策，外采账号按需询价询档
0-1000W：25%
1000-2000W：28%
2000W以上：30%
","0-1000W：25%
1000-2000W：28%","0-1000W：25%
1000-2000W：28%","0-1000W：25%
1000-2000W：28%","5,000,000","5,000,000",,,,6,半年,1个月,是,/,李舜萍,商务负责人,lishunping@wuyou.com,ppz0008,,,,2025/1/1,2025/12/31,62,已归档,,,SIRI,省广X无忧25年年度代理协议.pdf,"母婴,美妆,时尚,生活,美食,亲子,家居,数码,萌宠,旅行,二次元,剧情,三农","测评,探店,coser,演员,舞蹈,二次元,乐队,古装/古风/国风,穿搭,变装,歌手/音乐,运动健身",√,√,√,√,√,√,,√,,,,无忧传媒1月刊例.xlsx,无忧传媒2月刊例.xlsx,无忧传媒3月刊例.xlsx,【无忧】传媒4月刊例.xlsx,无忧传媒5月刊例.xlsx,无忧传媒6月刊例.xlsx,无忧传媒7月刊例.xlsx,无忧传媒8月刊例 (2).xlsx,,无忧传媒10月刊例.xlsx,,,
,,初颂（上海）文化传播有限公司,初颂（原宸帆）,独代,20%≤X＜25%,信息服务费,,"小红书20%，抖音（汽车类25%）
账期：2个月，代下单，没有额外服务费
不做外采",小红书20%，抖音（汽车类25%）,,,"157,000",0,,,,6,1个月,2个月,是,/,李思曈,商务负责人,lisitong@thechenfan.com,ttonglee000,李思曈,商务负责人,ttonglee000,,,,"机构：初颂
机构类型：独代（可代下单）

政策：小红书20%，抖音20%（汽车类25%）
与24年政策完全没有变化不可以，目标小红书25%，抖音30%
@林诗茹
支付账期：2个月
返点账期：1个月
开票内容：现代服务*活动服务费
发票税率：6% 
是否可配合比价：可
年框时间：2025.8.1-2026.7.3",政策沟通中,2025/9/12,SIRI,,"母婴,美妆,时尚,生活","测评,大学生,海归,高学历,企业/品牌创始人,演员,情侣,播音主持专业,演员表演,设计师,（前）女团成员,（前）空姐,恋综嘉宾,模特,穿搭,歌手/音乐",√,√,,,,,,,,,,【初颂2025】红人1月刊例.xlsx,【初颂2025】红人2月刊例.xlsx,【初颂3月】红人刊例.xlsx,【初颂2025】红人4月刊例.xlsx,【初颂2025】红人5月刊例.xlsx,【初颂2025】红人6月刊例.xlsx,【初颂2025】红人7月刊例.xlsx,【初颂2025】红人8月刊例.xlsx,,【初颂2025】红人10月刊例.xlsx,,,
26,,深圳车大卖文化传媒有限公司,车大卖,独代+集采,25%≤X＜30%,广告发布费,,"独家政策：
全平台拉齐不低于25%",全平台拉齐不低于25%,全平台拉齐不低于25%,全平台拉齐不低于25%,0,0,,,,6,1个月,/,否,/,蒙俊鸿,商务负责人,chedamai@163.com,18688777839（同微信）,蒙俊鸿,商务负责人,18688777839（同微信）,2024.6.7,2025/6/6,-146,"机构类型：不参与外采业务，只做独家资源
政策：抖音30%，懂车帝25%
抖音和懂车帝都需要拉齐30%
@林诗茹五菱的聚光吐点都吐了32%，建议懂车帝的政策还要往上谈
支付账期：30天
返点账期：30天
开票内容：现代服务*信息服务费
发票税率：1% 
是否可配合比价：可以
是否可代下单：否
年框起始时间：2025/8/1-2026/7/31",政策沟通中,2025/9/12,SIRI,,汽车,"电视台/电台主持人,媒体主编/创始人,摄影师,导演",√,,,√,,,,,,,,车大卖1月份刊例.xlsx,车大卖2月份刊例.xlsx,车大卖3月份刊例.xlsx,【车大卖】4月份刊例.xlsx,车大卖5月份刊例.xlsx,车大卖6月份刊例.xlsx,车大卖7月份刊例.xlsx,车大卖刊例.pdf,,车大卖10月份刊例.xlsx,,,
27,,深圳市马上飞文化传媒有限公司,马上飞,独代+集采,25%≤X＜30%,广告发布费,,"独家政策：
全平台拉齐不低于25%",全平台拉齐不低于25%,全平台拉齐不低于25%,全平台拉齐不低于25%,"64,000","64,000",,,,6,1个月,/,否,/,皮兴耀,,pixingyao@163.com,,皮子,商务负责人,18201913321,2024.6.7,2025/6/6,-146,"机构名称：马上飞
机构资源类型：综合型（独家，户外旅行资源较多）

独家政策
全平台拉齐25%

年度累量提升
0-200w： 25%
200-400w: 28%
400w+：30%

@邓惠雅无升框，不签署，目标是拉齐30%
返点账期：1个月账期
开票内容：现代服务*活动服务费
发票税率：6%
是否可配合比价：是 
是否可代下单：否
年框时间：2025.8.1-2027.7.31",合作少，不签框，by case,2025/9/12,SIRI,,"汽车,亲子,旅行,剧情,财经","测评,探店,电视台/电台主持人,企业/品牌创始人,媒体主编/创始人,作家,摄影师",√,,,,,,,,,,,马上飞旅行mcn1月刊例.xlsx,马上飞旅行mcn2月刊例.xlsx,马上飞旅行mcn3月刊例.xlsx,【马上飞】旅行mcn4月刊例.xlsx,马上飞旅行mcn5月刊例(1)(1).xlsx,马上飞旅行mcn6月刊例(1).xlsx,马上飞旅行mcn7月刊例.xlsx,马上飞旅行mcn8月刊例（2).xlsx,,马上飞旅行mcn10月刊例 (5).xlsx,,,
28,,北京聆客广告有限公司,车动力,独代+集采,25%≤X＜30%,信息服务费,,"政策：抖音、小红书、视频号拉齐
0-50w： 25%
50-200w:w: 28%
200+：30%

外采：不低于20%","抖音、小红书、视频号拉齐
0-50w： 25%",抖音、小红书、视频号拉齐0-50w： 25%,抖音、小红书、视频号拉齐0-50w： 25%,0,0,,,,6,1个月,/,否,/,姚书婷,销售经理,yaoshuting@30sche.com,18610543422,吴广,30秒懂车联创,13810083218,2024.7.1,2025/6/30,-122,"机构：车动力
机构类型：独代+集采
@郑玉莹2025年更新政策：
「自有帐号」
帐号包括：谦谦学姐、甜小倩说车、冰冰不懂车、车圈李迪斯、说车的一哥、美小卓
1、抖音、视频号：30%
2、小红书：
0-50w： 25%
50-200w: 28%
200w+：30%
返点账期：1个月
开票内容：现代服务*信息服务费
发票税率：6% 
是否可配合比价：可
是否可代下单：否
年框时间：2025.8.1-2026.7.31
「外采帐号」
不低于20%（根据订单需求针对性沟通）
2025年政策（和去年一样 因为全年无单量  待有单量后续再提升）：
必须要升框才能签署，我们下半年又新中标了很多客户，这些客户都是吐点很猛的，基本政策达不到30%就合作不了@邓惠雅
@邓惠雅可推进签约",@郑玉莹已提升政策，待确认,2025/9/26,viya,,"汽车,亲子,旅行,剧情","测评,电视台/电台主持人,高管,专业赛车手,节目创始人,节目嘉宾,旅行家",√,√,,√,,,,,√,,车动力抖音MCN营销手册-0514v1.1.pdf,,,30秒懂车&车动力3月刊例.xlsx,【车动力】30秒懂车&车动力4月刊例.xlsx,车动力2025年5月份刊例.xlsx,车动力2025年6月份刊例.xlsx,车动力2025年7月份刊例(2).xlsx,车动力2025年8月份刊例-1.xlsx,,,,,
29,,广州睿搏文化传媒有限公司,睿搏,独代+集采,20%≤X＜25%,广告服务*广告发布费 ,,"独家政策：公众号+视频号：30%，小红书20%
集采：不低于20%
可以代下单，直接扣除返点合作，账期2个月，后面就不需要再额外支付返点
","独家政策：公众号+视频号：30%，小红书20%
集采：不低于20%",独家政策：公众号+视频号：30%，小红书20%集采：不低于20%,独家政策：公众号+视频号：30%，小红书20%集采：不低于20%,"402,099","402,099",,,,6,1个月,/,否,/,苏浩,媒介高级经理,2199667312@qq.com,电话：15899979301 微信号：w13060612866 ,顾嘉琪,媒介总监,JQ_524297462,2024.8.1,2026/7/31,274,已归档,,,SIRI,【双方盖章版】省广&睿搏2024年度MCN机构合作协议书.pdf,"汽车,母婴,美妆,时尚,生活,美食,亲子,家居,数码,旅行,影视娱乐,财经,新闻资讯","测评,探店,大学生,高学历,高管,情侣,舞蹈,作家,音乐剧演员,二次元,海外,模特,摄影师,古装/古风/国风,穿搭,漫画,变装,运动健身,星座,教师,地方/行业资讯,武术,退役军人",√,√,√,√,√,√,,,,,领通互联公司简介.pdf,【2025年1月】全国一手资源总表-【小冰文化@领通】睿博.xlsx,【2025年2月】全国一手资源总表-【小冰文化@领通】.xlsx,【2025年3月】全国一手资源总表-【小冰文化@领通】睿博.xlsx,还没出,【2025年5月】全国一手资源总表-【小冰文化@领通】.xlsx,【2025年6月】全国一手资源总表-【小冰文化@领通】.xlsx,5号前更新完,【2025年8月】全国一手资源总表-【小冰文化@领通】.xlsx,,【2025年10月】全国一手资源总表-【小冰文化@领通】.xlsx,,,
