供应商全称,代理商名称,供应商类型,供应商性质,当前政策梯度,当前政策详情,财务结算方式,财务结算周期,2024年政策梯度,2024年政策详情,2024年累量金额,2024年合作状态,2025年政策梯度,2025年政策详情,2025年累量金额,2025年合作状态,一级对接人姓名,一级对接人电话,一级对接人微信,二级对接人姓名,二级对接人电话,二级对接人微信,是否代下单,是否双盖合同,合同跟进人,合同开始时间,合同结束时间,合同状态,资源类型,资源详情,可合作抖音,可合作小红书,可合作微信公众号,可合作微信视频号,可合作微博,可合作B站,可合作知乎,可合作快手,可合作懂车帝,可合作其他平台,供应商介绍
深圳车大卖文化传媒有限公司,车大卖,独代+集采,独代+集采,25%≤X＜30%,,,,独家政策：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
深圳市马上飞文化传媒有限公司,马上飞,独代+集采,独代+集采,25%≤X＜30%,,,,独家政策：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京聆客广告有限公司,车动力,独代+集采,独代+集采,25%≤X＜30%,,,,政策：抖音、小红书、视频号拉齐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广州睿搏文化传媒有限公司,睿搏,独代+集采,独代+集采,20%≤X＜25%,,,,独家政策：公众号+视频号：30%，小红书20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杭州勇远直前文化传播有限公司,直前,独代+集采,独代+集采,25%≤X＜30%,,,,独家政策：抖音、快手：拉齐30%，小红书：25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海瞬视信息科技有限公司,门牙、克莱因、超麦mcn,独代+集采,独代+集采,25%≤X＜30%,,,,机构：门牙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖南瞬视而为信息科技有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海南瞬视信息科技有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江苏瞬风瞬水信息科技有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广西瞬视信息科技有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宁波侵尘文化传媒有限公司,侵尘、侵尘碧玺、陆离、天禄,独代+集采,独代+集采,20%≤X＜25%,,,,和侵尘白泽拉齐政策,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都潮我看文化传媒有限公司,OST,独代,独代,x≥30%,,,,政策：独家刊例资源政策，没有外采,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长沙丁丁文化传媒有限公司,丁丁文化,独代,独代,25%≤X＜30%,,,,政策：独家刊例资源政策+全平台累量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京青藤文化股份有限公司,青藤,独代,独代,15%≤X＜20%,,,,【B站和其他平台】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海灵猫文化传媒有限公司,灵猫,独代,独代,25%≤X＜30%,,,,独家政策：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广州大象妈网络科技有限公司,象星球,独代+集采,独代+集采,25%≤X＜30%,小红书：刊例表黄色25%，橙色15%，蓝色 10%-15%（蓝色大部分可给到15%）,1个月,/,小红书：刊例表黄色25%，橙色15%，蓝色 10%-15%（蓝色大部分可给到15%）,,,,,,,,苏然,yao@daxiangma.com,,,,,否,,,,,,,,,,,,,,,,,,
武汉蓝色引擎网络科技有限公司,缤纷多彩,独代,独代,25%≤X＜30%,,,,抖音、快手平台政策,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杭州五颜六色文化传媒有限公司,五颜六色,独代,独代,25%≤X＜30%,,,,小红书（单独出来，不能一起累量）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
莆田五彩斑斓网络科技有限公司,colorful,,,,,1个月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杭州五彩缤纷科技有限公司,五彩缤纷,独代+集采,独代+集采,20%≤X＜25%,小红书独家资源返点20%，外采资源不低于15%,1个月,/,不做累框，小红书独家资源返点20%，外采资源不低于15%,,,,外采独家可拉齐20%,,,,耿聪,jiuqi@wuyanliuse-inc.com,,九七,xiaohongshu97,,否,,,,,,,,,,,,,,,,,,
上海睿驰嘉禾数字传媒科技有限公司,睿驰嘉禾,独代+集采,独代+集采,25%≤X＜30%,,,,独家政策：不低于25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
搜瓦特文化传媒公司,sowhat,独代+集采,独代+集采,20%≤X＜25%,,,,可以外采不能代下单,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
深圳市小雨互动有限公司,小雨互动,独代+集采,独代+集采,20%≤X＜25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京微播易科技股份有限公司,微播易,集采,集采,20%≤X＜25%,,,,0-500w：20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广州快鱼传媒有限公司,快鱼传媒,独代,独代,25%≤X＜30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京二咖传媒文化有限责任公司,二咖传媒,独代,独代,20%≤X＜25%,,,,机构：二咖传媒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海超会元文化有限公司,超会文化,独代,独代,20%≤X＜25%,政策：抖音25%、 小红书和b站：20,1个月,/,政策：抖音25%、 小红书和b站：20,,,,,,,,阿甘,247884523@qq.com,,张琪,Kyrie_788,,否,,,,,,,,,,,,,,,,,,
星榜互娱（成都）文化传媒有限公司,星榜互娱,独代,独代,20%≤X＜25%,,,,机构：星榜互娱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海一簇传媒有限公司,发光星球,独代,独代,20%≤X＜25%,,,,机构：发光星球,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
曦禾互动科技（北京）有限公司,上海美趣文化传媒有限公司、曦禾互动科技（北京）有限责任公司、上海一颗丸子文化传媒有限公司,独代+集采,独代+集采,20%≤X＜25%,,,,机构：曦禾互动,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江西小溪文化传媒有限公司,小溪文化,集采,集采,25%≤X＜30%,,,,机构类型：综合型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江西沐青文化传媒有限公司,麦麦文化,集采,集采,20%≤X＜25%,,,,机构：麦麦文化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海南明舟信息技术有限公司,易车,独代,独代,25%＜X≤30%,,,,合同时间：24年9月-24年12月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
深圳市青年力量传播有限公司,青年力量,独代+集采,独代+集采,25%≤X＜30%,,,,独家政策抖音不低于25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京星赢文化传媒有限公司,星赢文化,独代,独代,20%≤X＜25%,,,,【抖音、小红书、头条号】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海楼满花传媒科技有限公司,fafahouse,独代+集采,独代+集采,20%≤X＜25%,,,,机构：fafa house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
烟台方片八新媒体公司,方片新媒体,独代+集采,独代+集采,20%≤X＜25%,,,,0-120w，自营账号不低于20% 签约15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长沙松柏之志传媒有限公司,西瓜美妆,独代,独代,25%≤X＜30%,0-100w：抖音、小红书27%,,,0-100w：抖音、小红书27%100w以上：小红书和抖音拉齐30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
深圳市快美妆科技有限公司,快美妆,独代,独代,25%≤X＜30%,,,,合作时间：2024年11月1日-2025年12月31日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江西波动智媒网络科技有限公司,波动智媒,独代+集采,独代+集采,25%≤X＜30%,,,,独家政策：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青岛杠上开花科技有限公司,杠上开花,独代,独代,25%≤X＜30%,,,,独家政策：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青岛十三幺网络科技有限公司,十三幺,独代+集采,独代+集采,25%≤X＜30%,,,,全平台资源拉齐（含独家和外采资源）：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江西信和天盛文化传播有限公司,信和天盛,集采,集采,20%≤X＜25%,全平台拉通，返点不低于20%,1个月,3个月,全平台拉通，返点不低于20%,,,,全平台拉通，返点不低于20%,,,,文崇武,wencongwu@xinhetiansheng.com,,文崇武,Wen_c78,,是,,√,"汽车,母婴,美妆,时尚,美食,医生,亲子,家居,数码,萌宠,旅行,剧情,漫画","测评,探店,男博,大学生,高学历,电视台/电台主持人,高管,企业/品牌创始人,专业赛车手,媒体主编/创始人,情侣,专业化妆师/造型师,模特,穿搭,歌手/音乐,运动健身",√,√,,,,,,,,,,,,
广州神狼文化传播有限公司,神狼文化,独代,独代,25%≤X＜30%,全平台拉齐28%（不需要累量）,1个月,/,全平台拉齐28%（不需要累量）,,,,,,,,马涛,atao4411@163.com,,马涛,atao4412,,否,,,"汽车,美妆,生活,美食","演员,作家,育儿师",,,√,,,,,,,,,,,
想象（厦门）数字科技有限公司,新居网,独代,独代,25%≤X＜30%,,,,,,,,,,,,丁洁铿,dingjiekeng@imaginemedia.cn,,,,,,,,,,,,,,,,,,,,,,,
上海告趣信息科技有限公司,告趣,独代+集采,独代+集采,25%≤X＜30%,,,,,,,,,,,,赖道婧,daojing.lai@gaoq.com,,,,,,,,,,,,,,,,,,,,,,,
江西众媒汇文化传,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,虎霸文化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖南创新娱乐传媒有限公司,芒果,独代+集采,独代+集采,25%≤X＜30%,,,,0-300w：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
深圳市少女派科技有限公司,少女派,独代,独代,25%≤X＜30%,,,,机构政策：独家资源通用政策（不外采）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杭州麻瓜网络科技有限公司,差评、麻瓜联盟,独代,独代,15%≤X＜20%,,,,独家：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广州清栀时尚文化传播有限公司,五月星河、莓有烦恼、森虎文化、初尘,独代,独代,25%≤X＜30%,,,,2024年政策：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京觅桃严选文化传媒有限公司,觅桃文化,独代,独代,25%＜X≤30%,小红书不低于25%,1个月,/,政策：小红书不低于25%（举例：母婴类基础22%，家居护肤类20%，每月特殊账号25%）,,,,全平台机构自营/独家签约账号拉齐政策：小红书：25%,,,,冀恒刚,jihg@mitao360.cn,,,,,否,,,,,,,,,,,,,,,,,,
江西遇见光传媒有限公司,遇见光,独代+集采,独代+集采,25%≤X＜30%,,,,机构：遇见光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京升木文化传媒有限公司,升木文化,独代+集采,独代+集采,25%≤X＜30%,,,,、合作政策：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江西懿世文化传媒有限公司,懿世、量克,独代+集采,独代+集采,25%＜X≤30%,,,,政策：独家及外采资源通用政策（独家和外采一起累框）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
深圳市乾派文化传播有限公司,乾派文化、向乾,独代+集采,独代+集采,20%＜X≤25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
优界文化传播（上海）有限公司,优界,独代,独代,X＞30%,,,,政策：独家刊例资源政策,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杭州达灵文化传媒有限责任公司,达灵文化,独代+集采,独代+集采,20%＜X≤25%,,,,独家政策：小红书：20%，抖音、快手拉齐：25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
深圳市飞鱼新媒体网络科技有限公司,飞鱼,独代,独代,20%＜X≤25%,,,,政策：独家/外采通用阶梯型返点政策，小红书/抖音,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
