序号,昵称,账号ID,达人概况,现挂靠机构,达人类型,主平台粉丝量(万),签约进度,合同开始日期,合同结束日期,合同期限(月),签约返点(%),多平台账号信息(JSON),全网平台,备注
18,鱼丸麻麻吖,sphNfaQdVmhCxsc,母婴,省广星媒,萌娃日常/亲子互动,30,2025/9/1至2026/9/1,2025-9-1,2026-9-1,12,60,,抖音 快手,
19,小爱数码解说员,sphHsZeYfGrL4px,科技数码,省广星媒,蝠手机测评/单品测评,30,2025/9/1至2026/9/1,2025-9-1,2026-9-1,12,60,,网易、搜狐、车家号、易车,
20,三野漫游记,sphuEqZBrZsGFzr,旅游,省广星媒,旅游攻略/旅拍,30,2025/9/1至2026/9/1,2025-9-1,2026-9-1,12,60,,B站、头条,
21,正一弟弟的慢时光,sph30FL0aLbzU6M,母婴,省广星媒,萌娃日常/亲子互动,30,邮件已确认，待合同签署,,,,60,,小红书,
22,大白数码解说员,sphOGXVE71zDNKH,科技数码,省广星媒,手机测评/电脑测评,30,2025/9/1至2026/9/1,2025-9-1,2026-9-1,12,60,,微博、快手、B站、识货、得物、什么值得买、头条、搜狐,
23,念行记,sphB4zdfGzFUB8Q,旅游,省广星媒,旅拍/美景分享,41.7,2025/9/1至2026/9/1,2025-9-1,2026-9-1,12,60,,小红书,
24,客观说数码,sphFVLH6ACSP6q2,科技数码,省广星媒,手机测评/数码导购/单品测评,31.1,2025/9/1至2026/9/1,2025-9-1,2026-9-1,12,60,,/,
25,楚涵观市录,sphkhjBNUaoBWx5,新闻财经资讯,省广星媒,热点事件商业解读,50,邮件已确认，待合同签署,,,,60,,/,
26,小李麻麻的日常,sphCo9mL4Sa7dhB,母婴,省广星媒,育儿科普/带娃日常,30.8,2025/9/1至2026/9/1,2025-9-1,2026-9-1,12,60,,抖音、逛逛,
27,极客视觉说,sph1JJWCCqalacj,科技财经,省广星媒,科技数码,37.5,邮件已确认，待合同签署,,,,60,,快手、小红书、微博、b站,
28,课代表文杰,sphHVJPCWCr0Yru,财经推账号,省广星媒,新闻财经资讯,52.3,邮件已确认，待合同签署,,,,60,,/,
29,小旋日记,sph01D52P1OuDZt,生活方式,省广星媒,生活记录/时尚颜值,36.2,邮件已确认，待合同签署,,,,60,,抖音、小红书,
30,贺尔街视角,sphNCo5EoUs9d2e,新闻财经资讯,省广星媒,热点事件,71.3,邮件已确认，待合同签署,,,,60,,/,
31,趋势潘点,sphnCjR5SoRVrOl,新闻财经资讯,省广星媒,热点事件商业解读,90,邮件已确认，待合同签署,,,,60,,抖音、小红书,
32,亮研社,sphdb6JlTl79kvf,新闻财经资讯,省广星媒,热点事件商业解读,48,邮件已确认，待合同签署,,,,60,,抖音、视频号、快手,
33,屿纪BD,sphUuOuwYeNXvcR,头部重点达人,省广星媒,非遗文旅车垂,0.1,邮件已确认，待合同签署,,,,50,"[{""platform"": ""60s+价格"", ""account_name"": """", ""fans_count"": """", ""price_60s_plus"": """", ""cooperation_policy"": """"}]",,"抖音556.3w粉
60s+价格：238000"
34,iris生活日志,sphE5BBt6xt80o0,生活方式,省广星媒,大学生生活/vlog,31.9,邮件已确认，待合同签署,,,,60,,/,
35,今日舒畅说,sphGnPdjLRNg1HU,新闻财经资讯,省广星媒,热点事件商业解读,55.8,邮件已确认，待合同签署,,,,60,,小红书,
36,番茄懂数码,sphtgqHnljzK9aN,科技数码,省广星媒,手机测评/电脑测评,32.9,邮件已确认，待合同签署,,,,60,,抖音、b站、快手,
37,可圈可点可来说,sph5JbrwINKHDFJ,新闻财经资讯,省广星媒,热点事件商业解读,31,邮件已确认，待合同签署,,,,60,,/,
38,果爸的旅行日记,sphcrFdcdUPf4jm,文旅推荐账号,省广星媒,旅游,40.4,邮件已确认，待合同签署,,,,60,,抖音、B站、小红书,
39,阿坏旅游手札,sphgzxctcDKRtaG,旅游,省广星媒,旅游攻略/美晨分享/旅拍,37.6,邮件已确认，待合同签署,,,,60,,/,
40,脆香米真可爱,sph10Gn1cZKxm2G,生活方式,省广星媒,大学生生活/vlog,39,邮件已确认，待合同签署,,,,60,,/,
41,培培Moments,sphDf5wrXppDgdN,生活服务,省广星媒,VLOG-VLOG,57,邮件已确认，待合同签署,,,,60,,,
42,雪梨逛不停,sphtBPZ0GjfCctE,生活记录/打工人生活,省广星媒,生活方式,34,邮件已确认，待合同签署,,,,60,,/,
43,怡说新事,sphCyHWwbo0u6Fy,颜值-美女,省广星媒,汽车、服饰鞋帽箱包,40,邮件已确认，待合同签署,,,,60,,,
44,直言纯探长,sphmMAHMe0NtZFB,摄影-风光,省广星媒,生活服务,40,邮件已确认，待合同签署,,,,60,,,
45,夏夏漫行记,sph7dBJqspwhUy0,旅行-旅行,省广星媒,生活服务,40,邮件已确认，待合同签署,,,,60,,,
46,Molly的生活切片,sphCYpuwtHARwJA,VLOG-VLOG,省广星媒,食品、生活服务,30,邮件已确认，待合同签署,,,,60,,,
47,Lulu日迹,sphmyydDIRnH6bg,生活-其他,省广星媒,日用百货、生活服务,30,邮件已确认，待合同签署,,,,60,,,
48,和白棕屿一起走,sphJ8EBPqDUDyX6,旅行-旅行,省广星媒,旅行,30,邮件已确认，待合同签署,,,,60,,,
49,涡轮编码,sphZ7Vuoo7ielWZ,汽车-其他,省广星媒,车垂车评,22,2025/11/1至2026/10/31,2025-11-1,2026-10-31,11,50,"[{""platform"": ""抖音"", ""account_name"": ""像素涡轮"", ""fans_count"": ""119"", ""price_60s_plus"": """", ""cooperation_policy"": """"}]",抖音,抖音：像素涡轮119w粉
50,哔哔大测评,sph0ZCabCz1FZzx,科技-其他,省广星媒,科技数码,19.1,2025/11/1至2026/10/31,2025-11-1,2026-10-31,11,50,"[{""platform"": ""抖音"", ""account_name"": ""真话哔哔机"", ""fans_count"": ""130.4"", ""price_60s_plus"": """", ""cooperation_policy"": """"}]",抖音,抖音：真话哔哔机130.4w粉
51,极速智评,sphjLK9bTGWIsLC,科技-其他,省广星媒,科技数码,17.8,2025/11/1至2026/10/31,2025-11-1,2026-10-31,11,50,"[{""platform"": ""抖音"", ""account_name"": ""硬核科技控"", ""fans_count"": ""133.8"", ""price_60s_plus"": """", ""cooperation_policy"": """"}]",抖音,抖音：硬核科技控133.8w粉
52,科技奇点站,sphNmNbD0f6e86Y,科技-3c,省广星媒,科技数码,15.3,2025/11/1至2026/10/31,2025-11-1,2026-10-31,11,50,"[{""platform"": ""抖音"", ""account_name"": ""数码逸事"", ""fans_count"": ""105.3"", ""price_60s_plus"": """", ""cooperation_policy"": """"}]",抖音,抖音：数码逸事105.3w粉
53,极智3C+,sph9FO0xbvHveMJ,汽车-其他,省广星媒,车垂车评,11.5,2025/11/1至2026/10/31,2025-11-1,2026-10-31,11,50,"[{""platform"": ""抖音"", ""account_name"": ""数码引擎"", ""fans_count"": ""76.3"", ""price_60s_plus"": """", ""cooperation_policy"": """"}]",抖音,抖音：数码引擎76.3w粉
54,解码未来局,sphqLaSNdzoOrCQ,科技-其他,省广星媒,科技数码,9,2025/11/1至2026/10/31,2025-11-1,2026-10-31,11,50,"[{""platform"": ""抖音"", ""account_name"": ""来点科技"", ""fans_count"": ""57.7"", ""price_60s_plus"": """", ""cooperation_policy"": """"}]",抖音,抖音：来点科技57.7w粉
55,耿直喷参数,sphOIzwJMDaUC53,科技-其他,省广星媒,科技数码,4.8,2025/11/1至2026/10/31,2025-11-1,2026-10-31,11,50,"[{""platform"": ""抖音"", ""account_name"": ""工科耿直哥"", ""fans_count"": ""108.9"", ""price_60s_plus"": """", ""cooperation_policy"": """"}]",抖音,抖音：工科耿直哥108.9w粉
56,赛博脉冲,sphrWsrny0MoWLM,科技-3C,省广星媒,科技数码,8.8,2025/11/1至2026/10/31,2025-11-1,2026-10-31,11,50,"[{""platform"": ""抖音"", ""account_name"": ""码力赛博punk"", ""fans_count"": ""74.5"", ""price_60s_plus"": """", ""cooperation_policy"": """"}]",抖音,抖音：码力赛博punk74.5w粉
57,夏叔厨房,sphrvC8Ef5OBaRN,头部重点达人,省广星媒,头部重点达人,350,2025/9/1至2025/12/31,2025-9-1,2025-12-31,3,40,,抖音、小红书、B站,
58,c位大明星,sphgcXDliz1RDMY,娱乐营销账号,省广星媒,娱乐营销号,20,合同流程中,,,,50,,视频号、抖音、小红书、快手,"抖音390.1W粉
小红书9.9w粉
快手49.3w粉"
59,C位小师妹c,sphDv3NWW0XoJFT,娱乐营销号,省广星媒,娱乐营销号,20,合同流程中,,,,50,,视频号、抖音、小红书、快手,"抖音1002.7W粉
小红书118.9W粉
快手94.1w粉"
