序号,昵称,达人链接,星图/花火/蒲公英主页链接,主发平台,账号类型,"主发平台
粉丝量（w）","1-20s
视频预估报价","21-60s
视频预估报价","60s以上
视频预估报价",第一梯度,第二梯度,第三梯度,政策,合作简介/说明,全网平台,当前政策梯度,下半年接单次数,,
18,曹野,https://www.douyin.com/user/MS4wLjABAAAAHP3o_TDOLtIREgDA_gT9S5MmCqu34zFxwL3d5eaoJQ8,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6596678139047313416?market_track_id=C85DQANLVFN8TWQJGF7J&search_session_id=7547658509249921070&possessStarId,抖音,汽车,2027.1,"100,000","177,000","210,000",30%,33%,35%,"1-3条:30%（cpm 60 cpe5 ）
3-8条 33% （cpm 60 cpe5 ）
8条及以上:35% （cpm60 cpe5）","星图头部必选榜·月榜·汽车·第六名
头部车垂 配合度高 分发平台多 保
量且政策好。分发，视频号头条
懂车帝 易车","抖音 快手 小红书（付费）
视频号 头条 易车 懂车帝 汽车之家（免费）",,,,
19,超甜女友九九,https://v.douyin.com/aW3c7sRSuQs/,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6629657342088577027?market_track_id=2UBLBIW75O127XMJHT1W&search_session_id=7547663747088433178&possessStarId,抖音,汽车,1058.5,"88,000","149,999","169,999",35%,35%,35%,抖音统一35%,"环球旅行达人/年度影响力文旅文化大使 
可免费分发小红书 视频号",抖音、小红书、视频号,,,,
20,钟婷XO,https://www.douyin.com/user/MS4wLjABAAAANIc0cmhrqIrapBy-9jcX8r295NcvSYX5QcFnSwKrh0M,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6639185785788563464?market_track_id=HD847EA66E080UZ5ZG2O&search_session_id=7547660156265005106&possessStarId,抖音,剧情搞笑,1853.4,"120,000","150,000","160,000",30%,30%,30%,30%,"✔钟婷XO ：颜值赛道创作者
头部剧情账号
抖音粉丝1800w+， 点赞超过4.6亿+，日常平均播放超300w+，cpm60，cpe1
千万头部达人，颜值赛道短视频创作者，女生形象百变，可甜可御👸🏻
与别克、岚图、百事可乐、华为、欧莱雅等一线大牌常年合作",抖音、快手、小红书,,,,
21,伊博,https://v.douyin.com/EVmFw-MENO0/,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6673287101158522894?market_track_id=Z2NDB3N54UUOVD2K110W&search_session_id=7547663593925115913&possessStarId,抖音,剧情搞笑,1101.7,"60,000","150,000","150,000",38%,38%,40%,"抖音：1-8单：38%
8单以上：40%","2013年来到中国留学，2016年拍摄短视频凭借剧情和东北话走红。通过一口流利的东北方言，分享来到中国遇到的搞笑事情，在各大平台走红，获得众多粉丝喜爱。参加过奔跑吧兄弟、沈阳春晚等大型节目。
可合作平台：抖音、快手、视频号、小红薯、b站
2025新榜创作先锋奖
可做全网分发",抖音、快手、视频号、小红书、b站,,,,
22,陈小油说车,https://www.douyin.com/user/MS4wLjABAAAAa7cPQuCRD1J2Cuev5NJ4fyU_SoLiF_wDtCF0mTLk-5Q,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6677811883849809933?market_track_id=FDGO6O5CUP3UGRFCOMJR&search_session_id=7547662679436787738&possessStarId,抖音,汽车,1398,"80,000","140,000","170,000",30%,33%,35%,"1-3条:30%（ cpm 60 cpe5 ）
3-8条 33%（ cpm 60 cpe5 ）
8条及以上:35%（cpm60 cpe5）","星图头部必选榜·月榜·汽车·第十二名
配合度高 分发平台多 保量且政策好
分发视频号头条 懂车帝 易车",抖音、小红书、视频号、懂车帝,,,,
23,董威君Vin,https://www.douyin.com/user/MS4wLjABAAAAnmy5wvf2VM46jwFBx1Wa1UBt3yyoCmL25VXwDXPkhAU,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6729502085710086155?market_track_id=HOG17J72K5AG5JYS10J8&search_session_id=7547664115864010778&possessStarId,抖音,汽车,925.8,"200,000","298,000","328,000",30%,,,30%,"董威君Vin ：BMW认证高级驾驶及产品培训师
抖音粉丝926w 获赞 7580w，资深汽车行业导师，全球认证高级产品及驾驶培训师，《董车纪划》创始人。擅长技术解析、电动智能汽车领域板块等。与林肯、小米、雅迪、奇瑞、林肯、宝马、捷豹、保时捷、奔驰等一线汽车品牌深度合作。",抖音、视频号、懂车帝、小红书,,2,,
24,甜蜜老张,https://v.douyin.com/yarDNZ0m5bA/,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6974732266907893767?market_track_id=KITZZX17Q1FUUX27BB4N&search_session_id=7547664179306676251&possessStarId,抖音,剧情搞笑,870,"168,000","168,000","200,000",30%,,,统一30%（保cpm 50 cpe5 ）,"甜蜜老张：抖音搞笑剧情博主一人分饰多角。内容以搞笑、社死、无厘头事件为主，粉丝忠诚度高、粘性强。擅长戳粉丝的笑点，将话述与脸部微表情相结合形成的独特搞笑无厘头风格，内容质量高，吸引大部分年轻人群喜爱。该达人去年上线的导航语音包全网使用量超过40亿+。
可合作平台：抖音，快手，B站，视频号
合作抖音可以免费赠送视频号/小红书/微博三选一
游戏类的可以送直播1小时/抖音小号（甜蜜小张）【二选一】",抖音、快手、视频号、小红书,,,,
25,极速双姬,https://www.douyin.com/user/MS4wLjABAAAAjdO6PCEKv2NQHza5hmz1aAO0UdxDbncpyH-JMCBB6fI,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6596678596503273475?market_track_id=SSTOZE378S5FABODQEEP&search_session_id=7547664575523405862&possessStarId,抖音,汽车,818.5,"96,000","120,000","146,000",30%,,,年框30%,,抖音、视频号、小红书,,1,,
26,泡芙不败家,https://www.douyin.com/user/MS4wLjABAAAA5BG1m5_9RfTUW20u-sRECUmUf6LgDYrP4jq2jlP7ogQ,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6678576320382763021?market_track_id=3SLWSLAL0X794YFOUFZY&search_session_id=7547665219557130286&possessStarId,抖音,汽车/旅行,816.8,"56,700","67,100","78,000",25%,,,年框25%,,抖音、视频号、小红书,,,,
27,李凉凉❤️,https://www.douyin.com/user/MS4wLjABAAAA9FHbU1R_OInmxZ3GtY-4Xzmy4OC27lXVtGMoW4xOaCo,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6708994206288838668?market_track_id=ZGN83PSH18XJKTSF0H07&search_session_id=7547666333648207882&possessStarId,抖音,汽车/生活,770.6,"100,000","157,000","167,000",50%,,,星图60s+返点50%,"看合作内容保kpi数据
可分发平台：快手 视频号",抖音、快手、视频号,,,,
28,纱姐说车,https://www.douyin.com/user/MS4wLjABAAAADiRcfB4VjVfEEz2KYwY_jf1k-6eblEc17AE836ZWsfI,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6596678598759809038?market_track_id=XWVXF9MUB5D5IQAIMJN8&search_session_id=7547666333648650250&possessStarId,抖音,汽车,750.2,"120,000","150,000","200,000",30%,,,年框30%,,抖音、小红书呢、视频号,,1,,
29,灵霖七,https://www.douyin.com/user/MS4wLjABAAAA_PMdYjxrNmR6iDcTI5sqeX3K4JrjHE83VMn8h2TM8LHX4park-CpcV6uljAvM5hc,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6803600441029427207?market_track_id=ES04WCS0UL84LK6HCO9G&search_session_id=7547666606575337518&possessStarId,抖音,剧情搞笑,742.2,"177,000","247,000","247,000",30%,33%,35%,剧情翻拍类/1-3条:30% 4-5条 33% 5条及以上:35%（保cpm50，cpe5）,"抖音粉丝近740w+、获赞1.1亿+
玩梗杯最佳女演员奖、最佳改编剧本、最佳配音奖得主
2023年10月发布经典电视剧与大学生宿舍的二创《带饭传》核心视频，以其让观众哭笑不得的独创风格，拓宽了二创视频的可能性，引起甄学家广泛关注
星图商单视频平均cpm35、cpe1
与欧莱雅、华为、广汽、安慕希等一线大牌多次合作",抖音、小红书、视频号,,,,
30,车探三岁,https://www.douyin.com/user/MS4wLjABAAAAVAZsNdHp2L1_qOvKxt-9NYH02Y_cR_GLqGgYgxRW3ww,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6687446892701286412?market_track_id=GP8HU85PW8JPATVA6UBR&search_session_id=7547666614071181339&possessStarId,抖音,汽车,739.4,"150,000","188,000","220,000",30%,,,年框30%,,抖音、小红书、视频号、b 站,,,,
31,AMCC肌肉车会长,https://www.douyin.com/user/MS4wLjABAAAAY7kcyhukIIHg1rj3JM4ppoH1C2Bt4E7HJe5zOwrLxbQ,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6697442245198479374?market_track_id=F54N6AYMQNTI8OU4GRSX&search_session_id=7547666637853163547&possessStarId,抖音,汽车,729,"100,000","250,000","280,000",30%,,,抖音统一30%（cpm80，cpe8）,"合作抖音分发微博，今日头条，懂车帝
抖音，平均播放过500万",微博、今日头条、懂车帝,,1,,
32,艾伯特,https://www.douyin.com/user/MS4wLjABAAAA5IEKEs2H_cbPThZ3zhimPazo1Sdnw-XoxtoOHhG3_RM,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6629724419147169799?market_track_id=YVUOYA3I5QQTFH6NSVGT&search_session_id=7547666744169955337&possessStarId,抖音,汽车,728.2,"115,000","230,000","240,000",30%,,,抖音统一30%（cpm80，cpe8）,"合作抖音分发视频号、今日头条、懂车帝
抖音， 平均播放360万",抖音、视频号、今日头条、懂车帝,,,,
33,薯条🍟来啦,https://www.douyin.com/user/MS4wLjABAAAALe9IWaRtOcQHyPgnpTzwPem0zb-IMiHcT4zs_mV20LQ,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/7076600936264630286?market_track_id=7OSXKGCZ10EARK36S6ZQ&search_session_id=7547666979012935731&possessStarId,抖音,母婴,715.3,"260,000","320,000","330,000",30%,,,715.5w 60s+：33w 返点30% 保cpm100，cpe3,"✔ 薯条🍟来啦 ：这是薯条 一个迷迷的男子👶🏻
抖音粉丝715.6w 获赞 3.5亿 全网粉丝近1000w
爸爸邱老师因疫情居家办公期间，开始拍摄并分享薯条的日常生活视频，凭借薯条一句“我有点迷迷了”火爆全网，妈妈是琰琰婚礼日记的创始人，也是一名自媒体博主。父母都是高知识分子，适合需要高学历背书的品牌
与阿维塔、石头、悦鲜活、美的、魏牌高山等一线品牌深度合作",抖音、小红书,,,,
34,杀手公开课,https://v.douyin.com/DDSIefiVxj4/,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/7331251703192223754?market_track_id=IOMW5WINP2TDN47M65ZE&search_session_id=7547667161918816283&possessStarId,抖音,汽车,663,"180,000","180,000","200,000",30%,,,30%,"topgear亚太区主理人，国家认证的场地赛车手、经常参加各大品牌赛车手活动
赛车手优势可以深度挖掘、合作可以免费提供赛道资源，分发：视频号、易车号",抖音、视频号、易车,,1,,
35,终极小腾,https://www.douyin.com/user/MS4wLjABAAAAYY48wncTf9OP5QwMW7_nMrqkwx-1Blak4uTS-4FZCMc,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6805569871749840910?market_track_id=PUNMN0KQJ32WVD1OPGTU&search_session_id=7547671749581504539&possessStarId,抖音,汽车,654.7,"300,000","430,133","800,000",15%,20%,25%,"1-4条15%
4-7条20%
7条+25%",可合作：抖音b站视频号,"抖音 b站 视频号
",,,,
36,小辰吾妮,https://www.douyin.com/user/MS4wLjABAAAAwCXPRmaM5wrH-Q7M-lliXvnOn_eNVZGSIbQih7h9AmM,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6732786359871750152?market_track_id=6VUBMDYHFNGUQRLCNNOK&search_session_id=7547667532824739878&possessStarId,抖音,剧情搞笑,654.5,"180,000","180,000","200,000",30%,,,统一30%（看具体项目内容保量）,"抖音粉丝600w 点赞超过4亿+
日常平均播放超800w+，cpm20，带货力强
各大平台热搜榜单常客，1甜蜜有趣高颜值情侣日常深受粉丝喜爱
复投品牌：得物app 7投、完美日记品牌7投、识货app 5投、欧莱雅5投、骑士卡5投，亲爱男友沐浴露5投，58同城4投、欧乐B品牌3投、江小白3投、完子心选3投、吉列3投、美的3投",抖音、小红书、视频号,,,,
37,师妹超来电,https://www.douyin.com/user/MS4wLjABAAAA3li6KzFaY2MhH6DysTmCrCe5f3eNYy8IR4ESox7tP40,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6790289822352146446?market_track_id=447LD3MX3XQMLHAHTUU7&search_session_id=7547667647945523246&possessStarId,抖音,汽车,649.7,"80,000","160,000","200,000",27%,,,年框27%,,抖音、视频号、小红书,,1,,
38,车圈阿飞,https://www.douyin.com/user/MS4wLjABAAAAZRALKxF8_GC8KtlYo_Bi3XYmj7AQKJEEAjEuTsuf7YU,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6779054899695976461?market_track_id=P59AFOJJYPQO7MDZR92H&search_session_id=7547667647946473518&possessStarId,抖音,汽车,631,"70,000","120,000","140,000",25%,30%,35%,1单25%；2-3单30%；3单+35%,"可合作：抖音、快手、视频号、小红书
可赠送快手、小红书、微博分发
抖音近30天播放量4333万；
视频号粉丝324万，累计获赞超500万；",抖音、快手、视频号、小红书,,,,
39,唐璇,https://www.douyin.com/user/MS4wLjABAAAAwbW3CE5gNn0ISaIEG_XoXZ3mK9FXgTK5hQCqbH79co0,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6629723395548250126?market_track_id=YP186P24GYI3WKJ56P9K&search_session_id=7547667851002642478&possessStarId,抖音,汽车,619.5,"80,000","200,000","250,000",35%,38%,41%,"1-3条: 35% (CPM80 CPE4)
3-8条: 38% (CPM80 CPE4)
8条以上:41 % (CPM80 CPE4)","可合作平台：抖音、微博、小红书
合作其他平台免费分发微博",抖音、微博，小红书,,,,
40,5号车库阿张,https://www.douyin.com/user/MS4wLjABAAAASgeKDYx9duP2X3huJYfnsjVEta0IglawdKkro8ezUdA,https://www.xingtu.cn/ad/creator/author-homepage/douyin-video/6977596565200306184?market_track_id=YIC8CZFWV8MRTKXJNARH&search_session_id=7547668007280345139&possessStarId,抖音,汽车,613.8,"72,000","180,000","198,000",25%,30%,35%,"1-3条：25%（cpm60，cpe4）
3-5条：30%（cpm60，cpe4）
5条以上：35%（cpm60，cpe4）","可合作平台：抖音、快手、小红书、
懂车帝、视频号、今日头条、汽车之家
可分发平台：可以分发今日头条
西瓜视频、视频号",抖音、快手、小红书,,,,
